Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
building	[bIl][dIN]	b	236	5.46	25691	10.15	8.35	8	6	2	1943.85	1159.52	0	15	15	2	13.3	0.266	0.252	298.33	14	18	3	0	11	0	0	0	0	0	1	0
bull	[bUl]	b	16	2.77	2173	7.68	3.60	4	3	1	2254.20	233.88	15	12	9	6	66.7	0.689	0.706	0.00	0	0	1	0	2	0	0	0	0	0	6	3
bullet	[bU][lIt]	b	28	3.33	1270	7.15	3.65	6	5	2	940.43	301.08	4	14	13	7	53.8	0.448	0.416	42.84	2	13	7	1	4	0	0	0	0	0	1	1
bungalow	[bVN][g@][l@U]	b	1	0.00	754	6.63	4.30	8	7	3	222.48	7.53	0	9	8	3	37.5	0.492	0.469	208.87	6	60	2	0	6	0	0	0	0	0	0	1
bureau	[bjU@][r@U]	b	45	3.81	1498	7.31	5.50	6	5	2	702.25	132.20	0	12	9	1	11.1	0.242	0.224	264.44	9	32	3	0	4	0	0	0	0	1	1	3
bus	[bVs]	b	40	3.69	6932	8.84	8.35	3	3	1			7	17	16	5	31.3	0.343	0.344	187.91	10	18	4	0	8	1	1	0	0	0	2	1
butterfly	[bV][t@][flaI]	b	3	1.10	1151	7.05	6.15	9	7	3	493.13	43.13	0	15	13	5	38.5	0.399	0.411	112.32	4	14	0	2	3	2	0	0	0	0	6	2
buzzard	[bV][z@d]	b	1	0.00	236	5.46	2.20	7	5	2	194.55	55.64	0	14	11	1	9.1	0.102	0.080	372.20	10	22	0	3	5	1	0	0	0	0	2	3
cabbage	[k&][bIdZ]	k	4	1.39	500	6.21	5.60	7	5	2	429.35	134.91	0	16	15	3	20.0	0.266	0.261	327.84	24	36	6	0	2	2	0	0	1	0	4	1
cabin	[k&][bIn]	k	30	3.40	1289	7.16	5.10	5	5	2	609.90	48.56	0	10	10	5	50.0	0.444	0.478	12.12	1	10	2	0	4	0	0	0	0	1	3	0
cabinet	[k&][bI][nIt]	k	22	3.09	6902	8.84	8.35	7	7	3	457.82	77.06	0	10	9	1	11.1	0.141	0.095	125.88	8	29	2	0	5	0	0	0	0	0	2	1
cage	[keIdZ]	k	11	2.40	1346	7.20	5.65	4	3	1	847.77	75.61	13	13	13	8	61.5	0.657	0.662	7.37	1	10	6	0	6	0	0	0	0	0	1	0
cake	[keIk]	k	16	2.77	3791	8.24	7.40	4	3	1	2599.49	919.33	18	17	14	9	64.3	0.613	0.609	90.76	5	50	3	0	0	0	0	3	0	0	8	3
calf	[kA:f]	k	17	2.83	1083	6.99	4.35	4	3	1	1435.68	313.85	3	14	12	5	41.7	0.409	0.404	114.80	8	38	3	2	5	0	1	0	0	0	1	2
