CONCEPT	escalator	falcon	fan_(appliance)	faucet	fawn	fence	finch	flamingo	flea	flute	football	fork	fox	freezer	fridge	frog	garage	garlic	gate	giraffe	gloves	goat	goldfish	goose	gopher	gorilla	gown	grape	grapefruit	grasshopper	grater	grenade	groundhog	guitar	gun	guppy	hammer	hamster	hare	harmonica	harp	harpoon	harpsichord	hatchet	hawk	helicopter	helmet	hoe	honeydew	hook	hornet	horse	hose	hose_(leggings)	house	housefly	hut	hyena	iguana	inn	jacket	jar	jeans	jeep	jet	kettle	key	keyboard_(musical)	kite	knife	ladle	lamb	lamp	lantern	lemon	leopard	leotards	lettuce	level	lime	limousine	lion	lobster	machete	mackerel	magazine	mandarin	marble	mat	medal	menu	microscope	microwave	mink	mink_(coat)	minnow	mirror	missile	mittens	mixer	mole_(animal)	moose	moth	motorcycle	mouse	mouse_(computer)	mug	mushroom	muzzle	napkin	necklace	nectarine	nightgown	nightingale	nylons	oak	octopus	olive	onions	orange	oriole	ostrich	otter	oven	owl	ox	paintbrush	pajamas	pan	panther	pants	parakeet	parka	parsley	partridge	peach	peacock	pear	pearl	peas	peg	pelican	pen	pencil	penguin	pepper	perch	pheasant	piano	pickle	pie	pier	pig	pigeon	pillow	pin	pine	pineapple	pipe_(plumbing)	pipe_(smoking)	pistol	plate	platypus	pliers	plug_(electric)	plum	pony	porcupine	pot	potato	projector	prune	pumpkin	pyramid	python	rabbit	raccoon	racquet	radio	radish	raft	raisin	rake	raspberry	rat	rattle	rattlesnake	raven	razor	revolver	rhubarb	rice	rifle	ring_(jewelry)	robe	robin	rock	rocker	rocket	rooster
buckle	0.125	0.000	0.075	0.181	0.037	0.191	0.077	0.000	0.097	0.179	0.000	0.148	0.029	0.000	0.000	0.000	0.000	0.019	0.286	0.000	0.000	0.000	0.059	0.000	0.061	0.000	0.000	0.027	0.000	0.025	0.307	0.090	0.051	0.000	0.135	0.073	0.100	0.085	0.023	0.286	0.000	0.235	0.000	0.365	0.000	0.101	0.040	0.058	0.000	0.316	0.000	0.000	0.024	0.000	0.031	0.053	0.106	0.000	0.000	0.056	0.000	0.015	0.000	0.000	0.059	0.144	0.327	0.000	0.027	0.096	0.287	0.000	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.215	0.000	0.000	0.037	0.063	0.033	0.095	0.025	0.127	0.000	0.051	0.000	0.091	0.028	0.119	0.000	0.000	0.086	0.000	0.031	0.000	0.074	0.078	0.000	0.022	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.000	0.000	0.234	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.073	0.071	0.359	0.000	0.143	0.000	0.021	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.454	0.000	0.000	0.323	0.000	0.136	0.019	0.000	0.248	0.124	0.058	0.062	0.056	0.232	0.000	0.000	0.043	0.000	0.000	0.000	0.033	0.030	0.063	0.000	0.061	0.019	0.076	0.172	0.035	0.022	0.033	0.000	0.000	0.161	0.156	0.000	0.055	0.059	0.102	0.000	0.018	0.000	0.000	0.202	0.000
budgie	0.000	0.415	0.000	0.000	0.132	0.000	0.608	0.327	0.091	0.021	0.000	0.000	0.027	0.000	0.000	0.142	0.000	0.018	0.000	0.000	0.000	0.151	0.173	0.427	0.057	0.000	0.021	0.062	0.000	0.134	0.021	0.065	0.048	0.000	0.016	0.069	0.010	0.402	0.022	0.037	0.000	0.000	0.000	0.033	0.400	0.047	0.013	0.000	0.023	0.000	0.088	0.073	0.038	0.037	0.029	0.135	0.100	0.000	0.145	0.053	0.025	0.000	0.092	0.014	0.104	0.000	0.049	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.044	0.000	0.089	0.000	0.000	0.000	0.000	0.000	0.032	0.035	0.126	0.031	0.000	0.000	0.000	0.000	0.048	0.013	0.085	0.000	0.028	0.022	0.027	0.081	0.000	0.130	0.021	0.148	0.046	0.000	0.020	0.000	0.021	0.000	0.017	0.015	0.538	0.028	0.000	0.000	0.071	0.010	0.000	0.461	0.271	0.043	0.000	0.321	0.000	0.000	0.000	0.000	0.000	0.019	0.860	0.000	0.066	0.469	0.000	0.498	0.043	0.039	0.121	0.050	0.374	0.060	0.000	0.221	0.000	0.035	0.403	0.000	0.046	0.000	0.000	0.058	0.445	0.000	0.070	0.043	0.000	0.000	0.000	0.052	0.000	0.020	0.000	0.000	0.055	0.153	0.053	0.000	0.000	0.000	0.040	0.000	0.000	0.047	0.099	0.028	0.000	0.000	0.058	0.000	0.071	0.000	0.033	0.109	0.026	0.118	0.404	0.000	0.000	0.030	0.052	0.012	0.000	0.014	0.456	0.000	0.000	0.000	0.221
buffalo	0.000	0.130	0.000	0.000	0.316	0.000	0.000	0.061	0.000	0.000	0.053	0.000	0.450	0.090	0.091	0.069	0.081	0.021	0.000	0.270	0.000	0.331	0.051	0.171	0.374	0.491	0.000	0.016	0.084	0.031	0.000	0.000	0.417	0.000	0.000	0.000	0.000	0.213	0.201	0.000	0.123	0.000	0.069	0.000	0.124	0.000	0.000	0.000	0.000	0.000	0.063	0.425	0.000	0.000	0.097	0.000	0.000	0.491	0.107	0.000	0.000	0.000	0.000	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.000	0.432	0.000	0.095	0.000	0.000	0.057	0.355	0.230	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.053	0.076	0.000	0.000	0.000	0.000	0.323	0.681	0.036	0.000	0.136	0.000	0.084	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.110	0.261	0.031	0.000	0.000	0.000	0.117	0.296	0.000	0.119	0.760	0.000	0.000	0.000	0.235	0.000	0.000	0.111	0.043	0.151	0.027	0.167	0.064	0.000	0.019	0.000	0.196	0.000	0.000	0.095	0.000	0.276	0.313	0.054	0.069	0.086	0.073	0.273	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.369	0.000	0.000	0.034	0.246	0.412	0.000	0.072	0.000	0.000	0.104	0.205	0.141	0.375	0.299	0.000	0.000	0.000	0.000	0.077	0.000	0.058	0.148	0.000	0.065	0.133	0.000	0.000	0.057	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.151	0.219
buggy	0.040	0.000	0.024	0.052	0.000	0.061	0.000	0.000	0.000	0.050	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.018	0.000	0.000	0.043	0.000	0.083	0.000	0.000	0.079	0.000	0.075	0.000	0.183	0.000	0.118	0.000	0.096	0.000	0.093	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.280	0.125	0.069	0.088	0.000	0.000	0.078	0.078	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.279	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.063	0.000	0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.095	0.000	0.031	0.000	0.000	0.079	0.029	0.000	0.000	0.000	0.152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.046	0.000	0.122	0.000	0.000	0.032	0.000	0.000	0.052	0.077	0.000	0.000	0.038	0.021	0.000	0.000	0.000	0.089	0.065	0.000
building	0.032	0.041	0.019	0.042	0.000	0.153	0.000	0.000	0.000	0.071	0.000	0.033	0.000	0.075	0.117	0.000	0.187	0.000	0.224	0.107	0.000	0.000	0.000	0.035	0.000	0.116	0.000	0.000	0.033	0.000	0.073	0.015	0.000	0.072	0.035	0.000	0.048	0.000	0.000	0.064	0.098	0.061	0.078	0.085	0.068	0.064	0.000	0.015	0.000	0.075	0.035	0.091	0.000	0.000	0.489	0.000	0.093	0.000	0.000	0.092	0.000	0.000	0.000	0.022	0.069	0.033	0.071	0.000	0.027	0.021	0.110	0.000	0.000	0.030	0.000	0.046	0.000	0.000	0.041	0.000	0.031	0.104	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.033	0.037	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.124	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.179	0.056	0.000	0.000	0.000	0.000	0.049	0.000	0.025	0.000	0.106	0.045	0.000	0.060	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.204	0.063	0.023	0.084	0.000	0.000	0.000	0.000	0.081	0.000	0.000	0.146	0.000	0.000	0.000	0.076	0.040	0.000	0.077	0.055	0.025	0.000	0.000	0.064	0.024	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.058	0.158	0.046	0.000	0.000	0.048	0.000	0.000	0.119	0.000	0.125	0.000	0.000	0.000	0.000	0.023	0.042	0.040	0.000	0.000	0.015	0.017	0.000	0.000	0.000	0.110	0.136	0.000
bull	0.000	0.103	0.000	0.000	0.090	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.179	0.084	0.085	0.042	0.076	0.000	0.000	0.110	0.000	0.314	0.031	0.107	0.169	0.332	0.000	0.000	0.056	0.000	0.000	0.031	0.179	0.000	0.040	0.000	0.000	0.120	0.061	0.000	0.114	0.000	0.064	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.058	0.265	0.000	0.000	0.091	0.000	0.000	0.202	0.044	0.000	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.044	0.000	0.074	0.000	0.000	0.000	0.229	0.000	0.000	0.000	0.000	0.053	0.298	0.068	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.119	0.000	0.033	0.000	0.046	0.000	0.000	0.073	0.328	0.000	0.061	0.083	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.152	0.000	0.000	0.000	0.000	0.083	0.155	0.022	0.054	0.519	0.000	0.000	0.000	0.111	0.000	0.000	0.103	0.000	0.037	0.000	0.120	0.000	0.000	0.000	0.000	0.156	0.000	0.000	0.058	0.000	0.033	0.055	0.050	0.000	0.000	0.068	0.135	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.214	0.000	0.033	0.000	0.099	0.197	0.000	0.000	0.000	0.000	0.097	0.192	0.159	0.122	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.058	0.095	0.000	0.019	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.141	0.114
bullet	0.063	0.000	0.038	0.082	0.084	0.097	0.098	0.000	0.124	0.108	0.000	0.064	0.119	0.000	0.000	0.000	0.000	0.025	0.144	0.000	0.000	0.000	0.075	0.000	0.077	0.000	0.000	0.035	0.000	0.032	0.172	0.262	0.066	0.000	0.334	0.093	0.051	0.109	0.141	0.174	0.000	0.289	0.000	0.211	0.000	0.076	0.000	0.029	0.000	0.148	0.000	0.053	0.000	0.000	0.039	0.134	0.135	0.071	0.000	0.072	0.000	0.000	0.000	0.000	0.193	0.064	0.205	0.000	0.000	0.120	0.123	0.000	0.000	0.059	0.000	0.054	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.109	0.000	0.000	0.048	0.080	0.042	0.048	0.000	0.064	0.090	0.116	0.000	0.116	0.000	0.208	0.000	0.000	0.110	0.000	0.039	0.086	0.095	0.063	0.000	0.028	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.118	0.110	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.091	0.226	0.000	0.066	0.045	0.027	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.280	0.000	0.000	0.150	0.000	0.280	0.000	0.000	0.125	0.046	0.074	0.079	0.072	0.117	0.000	0.000	0.054	0.000	0.000	0.000	0.042	0.038	0.032	0.000	0.078	0.000	0.097	0.087	0.044	0.028	0.000	0.000	0.000	0.081	0.393	0.000	0.071	0.197	0.034	0.000	0.023	0.000	0.000	0.205	0.000
bungalow	0.000	0.000	0.000	0.000	0.080	0.000	0.168	0.000	0.212	0.049	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.128	0.000	0.132	0.000	0.000	0.059	0.000	0.055	0.049	0.071	0.112	0.000	0.000	0.159	0.000	0.185	0.050	0.085	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.480	0.115	0.492	0.000	0.000	0.122	0.000	0.000	0.000	0.032	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.137	0.071	0.000	0.000	0.000	0.000	0.112	0.000	0.198	0.000	0.000	0.000	0.000	0.188	0.000	0.067	0.000	0.162	0.108	0.000	0.047	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.091	0.155	0.117	0.000	0.000	0.000	0.046	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.127	0.135	0.122	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.072	0.065	0.000	0.000	0.134	0.000	0.165	0.000	0.076	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000
bureau	0.000	0.018	0.000	0.000	0.000	0.192	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.223	0.300	0.000	0.243	0.000	0.200	0.000	0.000	0.000	0.000	0.015	0.000	0.049	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.133	0.000	0.000	0.061	0.000	0.000	0.000	0.084	0.000	0.090	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.015	0.039	0.000	0.000	0.110	0.000	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.049	0.000	0.087	0.000	0.054	0.000	0.000	0.020	0.000	0.000	0.077	0.000	0.013	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.162	0.024	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.045	0.084	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.256	0.027	0.000	0.156	0.000	0.000	0.000	0.000	0.109	0.000	0.000	0.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.102	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.048	0.020	0.000	0.000	0.059	0.000	0.000	0.220	0.000	0.150	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.030	0.204	0.036	0.000
bus	0.000	0.028	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.059	0.000	0.071	0.000	0.000	0.018	0.000	0.000	0.000	0.024	0.000	0.079	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.013	0.000	0.000	0.000	0.046	0.000	0.026	0.000	0.046	0.135	0.000	0.000	0.014	0.000	0.044	0.131	0.000	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.190	0.382	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.032	0.000	0.000	0.000	0.000	0.156	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.085	0.000	0.314	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.038	0.000	0.016	0.000	0.000	0.033	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.014	0.042	0.000	0.000	0.000	0.021	0.035	0.000	0.012	0.000	0.043	0.000	0.020	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.077	0.031	0.000	0.000	0.000	0.000	0.000	0.074	0.015	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.057	0.000
butterfly	0.000	0.375	0.000	0.000	0.045	0.000	0.341	0.132	0.141	0.018	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.046	0.216	0.047	0.000	0.062	0.021	0.000	0.319	0.018	0.026	0.040	0.000	0.000	0.057	0.000	0.066	0.018	0.030	0.000	0.000	0.000	0.027	0.329	0.000	0.038	0.000	0.000	0.000	0.463	0.015	0.000	0.109	0.024	0.486	0.083	0.000	0.000	0.044	0.075	0.000	0.057	0.000	0.294	0.000	0.041	0.000	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.132	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.031	0.029	0.160	0.026	0.000	0.000	0.000	0.000	0.040	0.039	0.071	0.000	0.069	0.022	0.000	0.067	0.000	0.627	0.000	0.058	0.038	0.000	0.017	0.000	0.062	0.000	0.014	0.046	0.329	0.083	0.000	0.000	0.017	0.000	0.000	0.316	0.031	0.000	0.000	0.239	0.000	0.000	0.000	0.000	0.000	0.057	0.280	0.000	0.000	0.287	0.000	0.177	0.000	0.033	0.056	0.042	0.242	0.089	0.000	0.081	0.000	0.029	0.174	0.000	0.000	0.013	0.000	0.000	0.379	0.000	0.058	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.045	0.048	0.044	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.026	0.023	0.000	0.000	0.048	0.000	0.059	0.000	0.027	0.017	0.025	0.000	0.300	0.000	0.000	0.000	0.043	0.000	0.019	0.041	0.113	0.000	0.000	0.000	0.104
buzzard	0.031	0.635	0.000	0.000	0.074	0.000	0.632	0.439	0.061	0.000	0.000	0.000	0.013	0.038	0.039	0.069	0.035	0.000	0.000	0.000	0.000	0.115	0.000	0.602	0.000	0.128	0.000	0.000	0.026	0.074	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.032	0.000	0.000	0.052	0.000	0.029	0.000	0.631	0.000	0.000	0.000	0.000	0.000	0.228	0.126	0.000	0.000	0.041	0.230	0.000	0.120	0.015	0.000	0.000	0.000	0.000	0.000	0.171	0.000	0.000	0.100	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.069	0.000	0.000	0.000	0.000	0.085	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.034	0.000	0.000	0.000	0.096	0.176	0.000	0.059	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.689	0.000	0.034	0.104	0.118	0.000	0.000	0.693	0.488	0.033	0.000	0.457	0.081	0.000	0.000	0.000	0.165	0.000	0.568	0.047	0.000	0.663	0.000	0.556	0.000	0.035	0.000	0.000	0.576	0.000	0.000	0.399	0.141	0.000	0.559	0.099	0.000	0.000	0.031	0.044	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.045	0.088	0.036	0.000	0.085	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.142	0.000	0.104	0.713	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.471	0.000	0.000	0.064	0.338
cabbage	0.000	0.000	0.000	0.000	0.018	0.021	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.017	0.018	0.241	0.000	0.064	0.000	0.000	0.000	0.011	0.000	0.038	0.000	0.000	0.000	0.207	0.071	0.243	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.201	0.000	0.000	0.000	0.218	0.000	0.000	0.000	0.000	0.000	0.183	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.600	0.000	0.289	0.027	0.000	0.039	0.000	0.015	0.000	0.031	0.113	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.285	0.000	0.030	0.000	0.056	0.000	0.000	0.000	0.119	0.034	0.385	0.382	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.548	0.019	0.054	0.000	0.245	0.147	0.601	0.044	0.017	0.042	0.000	0.037	0.000	0.043	0.041	0.027	0.403	0.123	0.000	0.036	0.000	0.009	0.000	0.198	0.051	0.098	0.068	0.000	0.139	0.000	0.000	0.000	0.061	0.000	0.000	0.033	0.361	0.000	0.000	0.118	0.000	0.000	0.021	0.019	0.026	0.000	0.425	0.000	0.015	0.000	0.030	0.010	0.025	0.051	0.000	0.000	0.000	0.525	0.145	0.000	0.084	0.000	0.000	0.000	0.000	0.039	0.027
cabin	0.000	0.000	0.000	0.000	0.047	0.284	0.098	0.000	0.124	0.113	0.000	0.000	0.037	0.000	0.000	0.000	0.094	0.025	0.296	0.000	0.000	0.000	0.075	0.000	0.078	0.000	0.000	0.035	0.000	0.032	0.029	0.042	0.066	0.196	0.000	0.094	0.059	0.109	0.030	0.050	0.081	0.000	0.109	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.223	0.068	0.389	0.000	0.000	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.073	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.080	0.042	0.000	0.000	0.000	0.000	0.065	0.000	0.116	0.000	0.000	0.000	0.000	0.110	0.000	0.039	0.000	0.095	0.063	0.000	0.028	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.211	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.124	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.091	0.446	0.000	0.000	0.230	0.027	0.000	0.048	0.000	0.142	0.000	0.000	0.290	0.000	0.000	0.000	0.096	0.000	0.000	0.000	0.150	0.048	0.000	0.000	0.000	0.000	0.074	0.079	0.072	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.042	0.038	0.087	0.000	0.078	0.367	0.097	0.222	0.044	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.023	0.000	0.302	0.000	0.000
cabinet	0.000	0.000	0.021	0.051	0.000	0.308	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.269	0.461	0.000	0.421	0.000	0.322	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.213	0.000	0.000	0.064	0.000	0.000	0.000	0.088	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.212	0.000	0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.000	0.079	0.040	0.253	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.000	0.000	0.000	0.018	0.000	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.229	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.134	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.410	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.154	0.000	0.000	0.315	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.000	0.038	0.000	0.060	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.353	0.000	0.241	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.328	0.000	0.000
cage	0.128	0.000	0.076	0.166	0.030	0.195	0.062	0.000	0.078	0.178	0.000	0.129	0.023	0.000	0.000	0.000	0.000	0.016	0.354	0.000	0.000	0.000	0.047	0.000	0.049	0.000	0.000	0.022	0.000	0.020	0.308	0.085	0.042	0.000	0.137	0.059	0.102	0.069	0.019	0.283	0.000	0.239	0.000	0.364	0.000	0.103	0.000	0.059	0.000	0.298	0.000	0.000	0.000	0.000	0.025	0.043	0.086	0.000	0.000	0.045	0.000	0.079	0.000	0.000	0.061	0.130	0.322	0.000	0.000	0.083	0.249	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.220	0.000	0.000	0.030	0.051	0.026	0.097	0.000	0.129	0.000	0.041	0.000	0.073	0.000	0.121	0.000	0.000	0.070	0.000	0.025	0.000	0.060	0.040	0.033	0.018	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.000	0.000	0.000	0.238	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.058	0.303	0.000	0.093	0.000	0.017	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.362	0.000	0.000	0.303	0.000	0.130	0.000	0.000	0.253	0.094	0.047	0.050	0.045	0.236	0.000	0.000	0.034	0.000	0.000	0.000	0.027	0.024	0.064	0.000	0.050	0.000	0.061	0.175	0.028	0.018	0.000	0.000	0.000	0.165	0.159	0.000	0.045	0.061	0.068	0.000	0.014	0.000	0.000	0.206	0.000
