num,concept,complex_line_mean,complex_gray_mean,complex_color_mean,complex_line_sd,complex_gray_sd,complex_color_sd,diagnostic,familiarity_line_mean,familiarity_gray_mean,familiarity_color_mean,familiarity_line_sd,familiarity_gray_sd,familiarity_color_sd,image_line_mean,image_gray_mean,image_color_mean,image_line_sd,image_gray_sd,image_color_sd,H_line,H_gray,H_color,acc_line,acc_gray,acc_color,rt_line,rt_gray,rt_color
227,telephone,3.09,3.92,3.67,1.51,2.08,2.42,1.91,4.65,4.76,4.71,0.37,0.44,0.22,3.09,3.92,3.67,1.51,2.08,2.42,1.44,0.65,0.65,71.00,83.00,83.00,645.00,658.00,595.00
228,television,2.91,3.42,3.25,1.04,1.36,1.84,3.09,4.76,4.71,4.82,0.57,0.22,0.15,2.91,3.42,3.25,1.04,1.36,1.84,0.00,0.00,0.29,100.00,100.00,95.00,737.00,713.00,673.00
229,tennis racket,3.91,4.33,4.42,1.58,0.79,0.63,1.82,4.00,3.88,3.47,1.33,1.11,1.14,3.91,4.33,4.42,1.58,0.79,0.63,0.64,0.00,0.00,88.00,100.00,100.00,976.00,993.00,853.00
230,thimble,4.91,4.67,4.92,0.30,0.24,0.08,4.00,2.65,2.82,2.71,1.24,1.65,1.22,4.91,4.67,4.92,0.30,0.24,0.08,0.00,0.00,0.00,100.00,100.00,100.00,1167.00,1077.00,954.00
231,thumb,3.91,4.33,3.83,1.22,0.61,1.06,4.00,4.82,4.76,4.65,0.15,0.32,0.37,3.91,4.33,3.83,1.22,0.61,1.06,0.00,0.00,0.29,100.00,100.00,95.00,1676.00,982.00,1008.00
232,tie,4.09,4.42,3.75,0.94,0.99,1.48,1.18,3.94,3.29,3.71,0.81,1.35,0.60,4.09,4.42,3.75,0.94,0.99,1.48,0.29,0.00,0.00,95.00,100.00,100.00,771.00,789.00,713.00
233,tiger,3.91,4.42,4.17,1.38,0.45,0.52,4.46,1.76,2.06,2.00,0.69,1.18,0.63,3.91,4.42,4.17,1.38,0.45,0.52,0.00,0.29,0.00,100.00,95.00,100.00,1148.00,1063.00,893.00
234,toaster,4.27,3.75,4.25,1.19,1.48,0.75,2.36,4.18,3.94,4.00,1.15,0.93,0.75,4.27,3.75,4.25,1.19,1.48,0.75,0.00,0.00,0.00,100.00,100.00,100.00,1198.00,1225.00,1236.00
235,toe,3.64,4.25,3.75,1.03,0.57,1.30,4.18,5.00,4.76,4.88,0.00,0.19,0.11,3.64,4.25,3.75,1.03,0.57,1.30,0.29,0.00,0.00,95.00,100.00,100.00,,,786.00
236,tomato,4.27,4.50,4.58,1.42,0.27,0.81,4.64,4.59,4.65,4.59,1.38,0.24,0.26,4.27,4.50,4.58,1.42,0.27,0.81,0.63,0.50,0.00,89.00,89.00,100.00,908.00,933.00,713.00
237,toothbrush,4.36,3.58,3.83,0.67,0.99,0.88,1.18,4.94,4.82,4.82,0.06,0.15,0.15,4.36,3.58,3.83,0.67,0.99,0.88,0.87,0.75,0.32,71.00,85.00,94.00,913.00,897.00,729.00
238,top,3.64,3.33,3.00,1.03,1.15,2.00,1.09,2.41,1.82,2.00,1.76,0.78,1.13,3.64,3.33,3.00,1.03,1.15,2.00,1.86,1.35,0.91,50.00,56.00,80.00,1036.00,1165.00,992.00
239,traffic lights,4.00,3.58,4.17,0.77,1.17,0.88,4.64,4.53,4.24,4.47,0.76,0.94,0.39,4.00,3.58,4.17,0.77,1.17,0.88,0.00,0.00,0.00,100.00,100.00,100.00,1071.00,1172.00,1068.00
240,train,3.18,3.25,3.17,1.17,1.11,1.06,2.73,4.35,4.24,4.00,0.37,0.69,1.38,3.18,3.25,3.17,1.17,1.11,1.06,0.00,0.59,0.00,100.00,89.00,100.00,885.00,967.00,969.00
241,tree,3.09,4.00,3.92,1.38,0.91,0.99,3.91,4.88,4.88,4.88,0.11,0.11,0.11,3.09,4.00,3.92,1.38,0.91,0.99,0.00,0.00,0.00,100.00,100.00,100.00,698.00,676.00,604.00
242,truck,3.27,3.50,3.17,1.10,1.36,1.24,1.27,4.59,4.24,4.29,0.51,0.44,0.35,3.27,3.50,3.17,1.10,1.36,1.24,0.00,0.00,0.00,100.00,100.00,100.00,680.00,674.00,670.00
243,trumpet,4.36,4.67,4.83,0.67,0.24,0.15,4.46,2.82,2.88,2.41,2.03,1.36,0.51,4.36,4.67,4.83,0.67,0.24,0.15,0.50,0.74,0.59,89.00,79.00,89.00,784.00,832.00,689.00
244,turtle,4.45,4.75,4.00,0.69,0.20,0.55,4.09,2.94,3.24,2.76,1.93,1.07,0.69,4.45,4.75,4.00,0.69,0.20,0.55,0.91,0.47,0.58,79.00,90.00,90.00,728.00,762.00,772.00
245,umbrella,4.27,4.42,3.75,0.65,0.45,0.93,1.18,4.53,4.41,4.18,0.76,0.38,0.78,4.27,4.42,3.75,0.65,0.45,0.93,0.29,0.29,0.00,95.00,95.00,100.00,651.00,677.00,628.00
246,vase,3.00,2.58,2.58,1.48,0.99,2.99,1.18,3.47,3.53,3.06,2.26,2.14,0.81,3.00,2.58,2.58,1.48,0.99,2.99,1.59,1.46,0.87,33.00,17.00,0.00,857.00,823.00,725.00
247,vest,1.91,1.83,2.00,1.22,1.97,1.27,1.64,3.71,3.65,3.29,1.35,0.62,1.22,1.91,1.83,2.00,1.22,1.97,1.27,0.32,0.00,0.00,94.00,100.00,100.00,1297.00,1455.00,1501.00
248,violin,4.55,4.42,4.75,0.69,0.45,0.20,4.36,2.82,2.76,2.65,1.53,1.32,0.74,4.55,4.42,4.75,0.69,0.45,0.20,0.00,0.00,0.29,100.00,100.00,95.00,1178.00,1184.00,951.00
249,wagon,1.64,1.75,1.92,1.03,1.48,0.81,1.91,2.06,2.06,2.06,0.93,1.81,1.31,1.64,1.75,1.92,1.03,1.48,0.81,1.44,1.49,0.61,55.00,47.00,85.00,1846.00,1236.00,1930.00
250,watch,3.45,2.92,3.42,1.13,1.17,1.17,1.91,4.88,4.88,4.76,0.24,0.11,0.32,3.45,2.92,3.42,1.13,1.17,1.17,0.91,1.46,1.29,68.00,40.00,10.00,796.00,777.00,809.00
251,watering can,4.09,3.92,4.00,0.94,0.63,0.55,2.18,3.59,3.59,3.06,1.38,0.63,0.56,4.09,3.92,4.00,0.94,0.63,0.55,0.00,0.00,0.00,100.00,100.00,100.00,943.00,914.00,931.00
252,watermelon,3.82,4.00,3.83,1.08,1.09,0.88,4.73,2.82,3.24,2.94,1.40,1.07,0.43,3.82,4.00,3.83,1.08,1.09,0.88,0.00,0.00,0.00,100.00,100.00,100.00,1471.00,1427.00,1113.00
253,well,3.91,4.17,4.08,1.30,0.52,0.99,3.27,2.29,2.18,1.82,1.35,1.03,0.53,3.91,4.17,4.08,1.30,0.52,0.99,1.39,1.35,0.32,67.00,67.00,94.00,979.00,1038.00,915.00
254,wheel,2.73,3.25,3.08,1.56,2.75,2.63,3.55,2.76,2.65,2.41,1.07,1.37,1.01,2.73,3.25,3.08,1.56,2.75,2.63,0.00,0.00,0.32,100.00,100.00,94.00,1039.00,965.00,847.00
255,whistle,4.27,4.58,4.17,0.90,0.27,1.42,3.18,3.35,2.88,2.76,1.24,1.36,0.82,4.27,4.58,4.17,0.90,0.27,1.42,0.00,0.00,0.00,100.00,100.00,100.00,906.00,890.00,921.00
256,windmill,3.27,4.17,3.58,1.19,1.06,0.99,3.18,2.24,2.18,2.24,1.32,0.90,0.82,3.27,4.17,3.58,1.19,1.06,0.99,0.00,0.00,0.00,100.00,100.00,100.00,784.00,759.00,712.00
257,window,2.09,2.08,2.58,0.94,0.81,2.63,3.09,4.27,4.06,4.59,1.64,2.18,0.38,2.09,2.08,2.58,0.94,0.81,2.63,0.00,0.74,0.91,100.00,79.00,68.00,1150.00,1067.00,963.00
258,wine glass,4.27,3.92,4.17,0.90,0.81,0.88,4.00,4.53,4.53,4.53,1.01,0.51,0.64,4.27,3.92,4.17,0.90,0.81,0.88,0.00,0.00,0.00,100.00,100.00,100.00,717.00,857.00,732.00
259,wrench,2.10,1.50,1.83,1.52,1.36,1.97,4.82,3.00,2.71,2.35,1.00,1.97,0.74,2.10,1.50,1.83,1.52,1.36,1.97,0.00,0.00,0.00,100.00,100.00,100.00,1230.00,1344.00,1321.00
260,zebra,4.55,4.92,5.00,0.93,0.08,0.00,5.00,2.00,2.12,1.76,1.50,1.11,0.69,4.55,4.92,5.00,0.93,0.08,0.00,0.00,0.00,0.29,100.00,100.00,95.00,1104.00,935.00,810.00
